timestamp,cone_type,rel_x_sensor,rel_y_sensor,confidence,label
0.0,left,0.026,3.531,0.87,real
0.0,left,-5.075,2.862,0.78,real
0.0,left,-9.808,0.925,0.86,real
0.0,left,-14.271,-2.37,0.96,real
0.0,left,-18.437,-6.697,0.83,real
0.0,right,-3.55,-4.099,0.97,real
0.0,right,-7.36,-5.682,0.92,real
0.0,right,-10.488,-8.334,0.91,real
0.1,left,-4.598,2.851,0.99,real
0.1,left,-9.669,1.298,0.8,real
0.1,left,-13.997,-1.87,0.95,real
0.1,left,-18.137,-6.051,0.84,real
0.1,left,-21.506,-11.431,0.78,real
0.1,right,-3.407,-4.118,0.89,real
0.1,right,-7.168,-5.65,0.88,real
0.1,right,-10.71,-8.166,0.98,real
0.1,right,-13.644,-11.938,0.89,real
0.2,left,-4.465,3.142,0.8,real
0.2,left,-9.328,0.938,0.92,real
0.2,left,-13.947,-2.115,0.87,real
0.2,left,-17.753,-5.973,0.95,real
0.2,left,-21.44,-11.316,0.9,real
0.2,right,-3.286,-4.067,0.92,real
0.2,right,-7.434,-5.572,0.84,real
0.2,right,-10.4,-7.884,0.95,real
0.2,right,-13.59,-11.565,0.93,real
0.3,left,-3.996,2.826,0.94,real
0.3,left,-8.798,1.226,0.99,real
0.3,left,-13.485,-1.624,0.91,real
0.3,left,-17.871,-5.546,0.79,real
0.3,left,-21.566,-10.978,0.71,real
0.3,right,-3.553,-3.411,0.85,real
0.3,right,-6.862,-5.323,0.86,real
0.3,right,-10.105,-7.721,0.87,real
0.3,right,-13.566,-11.282,0.81,real
0.4,left,-3.78,3.029,0.84,real
0.4,left,-8.508,1.493,0.99,real
0.4,left,-13.137,-1.327,0.98,real
0.4,left,-17.598,-5.406,0.89,real
0.4,left,-21.318,-10.626,0.8,real
0.4,right,-3.108,-3.832,0.99,real
0.4,right,-6.722,-5.477,0.79,real
0.4,right,-10.218,-7.745,0.99,real
0.4,right,-13.245,-11.301,0.92,real
0.4,left,-5.83,4.253,0.45,ghost
0.5,left,-3.488,3.223,0.79,real
0.5,left,-8.29,1.23,0.84,real
0.5,left,-13.095,-0.909,0.86,real
0.5,left,-17.328,-5.095,0.82,real
0.5,left,-21.613,-10.111,0.88,real
0.5,right,-2.816,-4.01,0.89,real
0.5,right,-6.477,-5.11,0.87,real
0.5,right,-10.045,-7.559,0.89,real
0.5,right,-13.365,-11.086,0.87,real
0.6,left,-3.274,3.304,0.74,real
0.6,left,-7.922,1.832,0.81,real
0.6,left,-12.873,-1.187,0.94,real
0.6,left,-17.213,-5.034,0.9,real
0.6,left,-21.313,-9.723,0.8,real
0.6,right,-2.82,-3.847,0.89,real
0.6,right,-6.235,-5.095,0.96,real
0.6,right,-10.039,-7.438,0.74,real
0.6,right,-13.472,-10.964,0.94,real
0.7,left,-2.967,3.139,0.87,real
0.7,left,-7.74,1.651,0.94,real
0.7,left,-12.609,-0.939,0.74,real
0.7,left,-17.184,-4.689,0.86,real
0.7,left,-21.436,-9.518,0.99,real
0.7,right,-2.209,-3.638,0.99,real
0.7,right,-6.099,-4.599,0.84,real
0.7,right,-9.648,-7.232,0.93,real
0.7,right,-13.574,-10.557,0.94,real
0.7,unknown,-10.371,6.71,0.3,ghost
0.8,left,-2.493,3.262,0.87,real
0.8,left,-7.547,1.805,0.86,real
0.8,left,-12.224,-0.825,0.98,real
0.8,left,-16.959,-4.56,0.83,real
0.8,left,-21.021,-8.975,0.84,real
0.8,right,-2.259,-3.613,0.87,real
0.8,right,-5.825,-4.598,0.94,real
0.8,right,-9.631,-7.173,0.88,real
0.8,right,-13.138,-9.606,0.95,real
0.9,left,-2.228,3.315,0.86,real
0.9,left,-7.571,1.877,0.78,real
0.9,left,-12.013,-0.424,0.93,real
0.9,left,-16.516,-3.633,0.75,real
0.9,left,-21.021,-8.797,0.9,real
0.9,right,-1.806,-3.407,0.74,real
0.9,right,-5.829,-4.78,0.95,real
0.9,right,-9.673,-6.83,0.97,real
0.9,right,-13.088,-9.894,0.84,real
1.0,left,-1.691,3.115,0.8,real
1.0,left,-7.012,2.161,0.88,real
1.0,left,-11.84,-0.184,0.78,real
1.0,left,-16.537,-4.059,0.81,real
1.0,left,-20.852,-8.54,0.88,real
1.0,right,-2.03,-3.336,0.75,real
1.0,right,-5.487,-4.531,0.86,real
1.0,right,-9.487,-6.819,0.98,real
1.0,right,-12.821,-10.045,0.76,real
1.1,left,-1.476,3.346,0.91,real
1.1,left,-6.185,2.583,0.93,real
1.1,left,-11.796,-0.3,0.99,real
1.1,left,-15.985,-3.632,0.75,real
1.1,left,-21.076,-8.172,0.8,real
1.1,right,-1.897,-3.686,0.75,real
1.1,right,-5.447,-4.398,0.89,real
1.1,right,-9.14,-6.803,0.78,real
1.1,right,-12.964,-9.911,0.82,real
1.2,left,-1.193,3.446,0.9,real
1.2,left,-6.303,2.329,0.99,real
1.2,left,-10.941,0.277,0.98,real
1.2,left,-15.735,-3.526,0.72,real
1.2,left,-20.555,-8.144,0.99,real
1.2,right,-1.529,-3.962,0.88,real
1.2,right,-5.289,-4.176,0.93,real
1.2,right,-8.97,-6.632,0.81,real
1.2,right,-12.785,-9.252,0.86,real
1.3,left,-1.243,3.463,0.77,real
1.3,left,-5.872,2.592,0.78,real
1.3,left,-10.979,0.36,0.85,real
1.3,left,-15.792,-2.829,0.99,real
1.3,left,-20.481,-7.301,0.85,real
1.3,right,-1.293,-3.403,0.91,real
1.3,right,-5.141,-4.494,0.98,real
1.3,right,-8.804,-6.463,0.82,real
1.3,right,-12.612,-9.381,0.94,real
1.4,left,-0.511,3.709,0.83,real
1.4,left,-5.442,2.63,0.9,real
1.4,left,-10.949,0.328,0.81,real
1.4,left,-15.747,-2.774,0.78,real
1.4,left,-20.338,-6.949,0.99,real
1.4,right,-0.914,-3.241,0.89,real
1.4,right,-4.932,-4.413,0.89,real
1.4,right,-8.392,-6.17,0.94,real
1.4,right,-12.647,-8.88,0.85,real
1.5,left,-0.053,3.48,0.88,real
1.5,left,-5.306,2.76,0.76,real
1.5,left,-10.622,0.643,0.96,real
1.5,left,-15.891,-2.398,0.88,real
1.5,left,-20.21,-7.14,0.76,real
1.5,right,-0.79,-3.232,0.7,real
1.5,right,-4.252,-3.955,0.95,real
