timestamp,x,y,yaw_rad,speed_mps,steering_rad,yaw_rate_rps
0.0,40.0,0.0,1.5708,7.0,0.0,0.0
0.1,39.998,0.262,1.5876,7.025,0.004,0.002
0.2,39.991,0.524,1.6043,7.05,0.008,0.004
0.3,39.98,0.785,1.621,7.075,0.011,0.006
0.4,39.965,1.047,1.6378,7.1,0.015,0.008
0.5,39.945,1.308,1.6545,7.125,0.019,0.01
0.6,39.921,1.57,1.6711,7.15,0.023,0.012
0.7,39.893,1.831,1.6878,7.175,0.026,0.014
0.8,39.86,2.092,1.7044,7.2,0.03,0.017
0.9,39.822,2.353,1.7209,7.225,0.034,0.019
1.0,39.781,2.613,1.7374,7.249,0.037,0.021
1.1,39.735,2.873,1.7539,7.274,0.041,0.023
1.2,39.685,3.133,1.7702,7.298,0.045,0.025
1.3,39.63,3.393,1.7866,7.323,0.048,0.027
1.4,39.571,3.652,1.8028,7.347,0.052,0.029
1.5,39.508,3.911,1.819,7.371,0.056,0.031
1.6,39.44,4.169,1.8351,7.395,0.059,0.033
1.7,39.368,4.427,1.8511,7.418,0.063,0.035
1.8,39.291,4.685,1.867,7.442,0.066,0.036
1.9,39.211,4.941,1.8829,7.465,0.07,0.038
2.0,39.126,5.198,1.8986,7.488,0.073,0.04
2.1,39.037,5.454,1.9143,7.511,0.077,0.042
2.2,38.943,5.709,1.9298,7.534,0.08,0.044
2.3,38.845,5.963,1.9453,7.556,0.083,0.046
2.4,38.743,6.217,1.9606,7.578,0.087,0.048
2.5,38.637,6.47,1.9758,7.6,0.09,0.049
2.6,38.527,6.723,1.9909,7.622,0.093,0.051
2.7,38.412,6.975,2.0059,7.643,0.096,0.053
2.8,38.293,7.226,2.0208,7.664,0.1,0.055
2.9,38.17,7.476,2.0356,7.685,0.103,0.057
3.0,38.042,7.725,2.0502,7.705,0.106,0.058
3.1,37.911,7.974,2.0647,7.726,0.109,0.06
3.2,37.775,8.222,2.0791,7.745,0.112,0.061
3.3,37.635,8.468,2.0934,7.765,0.115,0.063
