metric,value
total_surviving_ghosts,14.0
contaminated_clusters_count,10.0
mean_distance_to_centroid_m,0.9554657084017958
max_distance_to_centroid_m,1.7925962615693485
mean_nearest_real_distance_m,0.5332547419298742
max_nearest_real_distance_m,1.3472374920276897
mean_cluster_time_span_s,73.93571428571428
surviving_ghost_mean,0.3828571428571429
surviving_ghost_median,0.365
surviving_ghost_min,0.27
surviving_ghost_max,0.54
rejected_ghost_mean,0.37318181818181817
rejected_ghost_median,0.36
rejected_ghost_min,0.25
rejected_ghost_max,0.55
real_obs_mean,0.877542809985558
real_obs_median,0.88
real_obs_min,0.6
real_obs_max,0.99
