eps,min_samples,is_baseline,total_observations,clustered_observations,noise_observations,noise_fraction,total_ghost_observations,ghost_observations_inside_clusters,ghost_observations_rejected_as_noise,ghost_rejection_rate_by_noise,number_of_clusters,largest_cluster_size,average_cluster_size
0.5,3,False,9774,9702,72,0.007366482504604052,80,8,72,0.9,72,176,134.75
0.5,4,False,9774,9702,72,0.007366482504604052,80,8,72,0.9,72,176,134.75
0.5,5,False,9774,9702,72,0.007366482504604052,80,8,72,0.9,72,176,134.75
0.5,6,False,9774,9702,72,0.007366482504604052,80,8,72,0.9,72,176,134.75
0.75,3,False,9774,9706,68,0.006957233476570493,80,12,68,0.85,72,176,134.80555555555554
0.75,4,False,9774,9706,68,0.006957233476570493,80,12,68,0.85,72,176,134.80555555555554
0.75,5,False,9774,9705,69,0.007059545733578883,80,11,69,0.8625,72,176,134.79166666666666
0.75,6,False,9774,9705,69,0.007059545733578883,80,11,69,0.8625,72,176,134.79166666666666
1.0,3,False,9774,9708,66,0.006752608962553714,80,14,66,0.825,72,176,134.83333333333334
1.0,4,True,9774,9708,66,0.006752608962553714,80,14,66,0.825,72,176,134.83333333333334
1.0,5,False,9774,9708,66,0.006752608962553714,80,14,66,0.825,72,176,134.83333333333334
1.0,6,False,9774,9708,66,0.006752608962553714,80,14,66,0.825,72,176,134.83333333333334
1.25,3,False,9774,9713,61,0.006241047677511766,80,19,61,0.7625,72,176,134.90277777777777
1.25,4,False,9774,9713,61,0.006241047677511766,80,19,61,0.7625,72,176,134.90277777777777
1.25,5,False,9774,9713,61,0.006241047677511766,80,19,61,0.7625,72,176,134.90277777777777
1.25,6,False,9774,9713,61,0.006241047677511766,80,19,61,0.7625,72,176,134.90277777777777
1.5,3,False,9774,9717,57,0.005831798649478207,80,23,57,0.7125,72,176,134.95833333333334
1.5,4,False,9774,9717,57,0.005831798649478207,80,23,57,0.7125,72,176,134.95833333333334
1.5,5,False,9774,9717,57,0.005831798649478207,80,23,57,0.7125,72,176,134.95833333333334
1.5,6,False,9774,9717,57,0.005831798649478207,80,23,57,0.7125,72,176,134.95833333333334
2.0,3,False,9774,9730,44,0.004501739308369143,80,36,44,0.55,69,295,141.0144927536232
2.0,4,False,9774,9730,44,0.004501739308369143,80,36,44,0.55,69,295,141.0144927536232
2.0,5,False,9774,9730,44,0.004501739308369143,80,36,44,0.55,69,295,141.0144927536232
2.0,6,False,9774,9730,44,0.004501739308369143,80,36,44,0.55,69,295,141.0144927536232
