candidate_id,candidate_x,candidate_y,num_observations,unique_viewpoint_bins,viewpoint_entropy,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7
0,43.48774397845845,0.003780183356294559,150,2,0.2492687194437442,0,0,0,0,32,118,0,0
1,42.83796667369778,4.965696213246791,162,2,0.15502328162721543,0,0,0,0,16,146,0,0
2,40.876209181924295,9.7809016170133,176,2,0.08892166260100869,0,0,0,0,8,168,0,0
3,37.66353962383881,14.254523798090762,166,2,0.25146873465455255,0,0,0,0,0,36,130,0
4,33.33762480327419,18.30425791734455,162,2,0.1677527782585486,0,0,0,0,0,18,144,0
5,35.92720000501217,3.744449133489198,162,4,0.5528390770432862,8,0,0,0,0,38,84,32
6,34.32330779707995,7.350815565959616,152,3,0.4211308549492973,14,0,0,0,0,0,94,44
7,31.597681568268627,10.724422017714582,144,3,0.48284880308667233,21,0,0,0,0,0,56,67
8,27.936237559691705,13.822554129197842,138,4,0.42869059429961875,24,4,0,0,0,0,14,96
9,27.958626303702435,21.819122179599997,162,2,0.1114227108539313,0,0,0,0,0,10,152,0
10,43.8181174750426,7.148671469648411,1,1,0.0,0,0,0,0,0,1,0,0
11,45.34644455417522,12.914396748945542,1,1,0.0,0,0,0,0,0,1,0,0
12,23.48199389639437,16.438363449933536,138,3,0.3237075640743331,28,6,0,0,0,0,0,104
13,29.444081849751463,9.816493292616222,1,1,0.0,0,0,0,0,0,0,0,1
14,18.2465960555773,18.586894307647718,140,3,0.36401028820593656,34,8,0,0,0,0,0,98
15,21.75018206245321,24.6879086656476,133,3,0.4055623453633072,0,0,0,0,0,6,59,68
16,12.465822261312377,20.185176238864067,142,3,0.41150749093377526,46,10,0,0,0,0,0,86
17,29.321680739809665,16.8298967433309,1,1,0.0,0,0,0,0,0,0,0,1
18,14.845254917181899,26.758672757263763,116,3,0.3237229708584757,0,0,0,0,0,4,26,86
19,6.336123937209311,21.165107104641894,130,3,0.4500415866816234,62,12,0,0,0,0,0,56
20,7.536290312217826,28.059883507438933,108,3,0.2729337019491572,0,0,0,0,0,2,20,86
21,-0.0068904501817044425,21.498211826138682,122,3,0.3900925853179466,86,18,0,0,0,0,0,18
22,0.019879034345673355,28.535328419539788,107,3,0.24609561429568017,0,0,0,0,0,2,16,89
23,16.07907511938644,27.593543273570106,1,1,0.0,0,0,0,0,0,0,1,0
24,-6.367521119161626,21.168073637603445,117,3,0.24667372214571318,97,18,2,0,0,0,0,0
25,10.391223564493211,20.687943474893988,1,1,0.0,1,0,0,0,0,0,0,0
26,6.121251926443695,19.285894255230644,1,1,0.0,1,0,0,0,0,0,0,0
27,-7.558255482034136,28.05970354582786,104,2,0.18998712534678336,0,0,0,0,0,0,14,90
28,-12.46823045174337,20.185199604650695,116,3,0.30215954354915836,90,22,4,0,0,0,0,0
29,-14.871584308828458,26.806112857916887,102,2,0.17418645817898026,0,0,0,0,0,0,12,90
30,3.872934809413139,27.173298659492108,1,1,0.0,0,0,0,0,0,0,1,0
31,-18.266007163593077,18.61530179226856,118,3,0.34398842724384615,86,26,6,0,0,0,0,0
32,-21.7594093473669,24.647749184937474,104,3,0.41894815012876857,34,0,0,0,0,0,8,62
33,-23.469854674619388,16.45912718175772,120,3,0.40373949292470346,78,32,10,0,0,0,0,0
34,-27.966427267646708,21.781703845641914,108,3,0.3922742759931885,68,0,0,0,0,0,6,34
35,-27.948070351186466,13.812040698425587,128,3,0.4548586143425727,68,46,14,0,0,0,0,0
36,-15.417919227536531,19.106180853578724,1,1,0.0,0,1,0,0,0,0,0,0
37,-17.57744504881854,30.223474374011992,1,1,0.0,0,0,0,0,0,0,1,0
38,-31.612267466018,10.749233832919055,138,3,0.4792210880286975,50,68,20,0,0,0,0,0
39,-33.30456178523122,18.314748223416288,113,3,0.2999131578452601,85,0,0,0,0,0,2,26
40,-32.687042561770554,22.677300033795987,1,1,0.0,1,0,0,0,0,0,0,0
41,-34.28000594992937,7.359682100861335,152,4,0.4772252500748218,22,98,26,6,0,0,0,0
42,-37.67241738761975,14.267398600389159,120,2,0.2166741405494514,100,0,0,0,0,0,0,20
43,-35.95821145171152,3.725306986729688,170,3,0.36927214147230775,0,120,38,12,0,0,0,0
44,-40.88593533231541,9.738463345822872,128,2,0.16600929551149218,114,0,0,0,0,0,0,14
45,-32.14423917487777,16.228160089082788,1,1,0.0,1,0,0,0,0,0,0,0
46,-42.83896469616525,4.927211223163921,138,2,0.08600622288827182,132,0,0,0,0,0,0,6
47,-36.493931377076215,0.0033196503326857647,168,4,0.4999991715672972,0,86,56,24,2,0,0,0
48,-43.49669471903733,0.0220423868718605,150,3,0.27325379084762075,30,118,0,0,0,0,0,2
49,-28.55423837845114,12.490637221555982,1,1,0.0,0,0,1,0,0,0,0,0
50,-42.828924508782386,-4.940764124028922,162,2,0.15502328162721543,16,146,0,0,0,0,0,0
51,-32.265541865166554,9.233585554534727,1,1,0.0,0,1,0,0,0,0,0,0
52,-35.94364566881566,-3.7423360137544543,162,4,0.5528390770432863,0,38,84,32,8,0,0,0
53,-40.889001272140426,-9.751523298609852,176,2,0.08892166260100869,8,168,0,0,0,0,0,0
54,-34.31492782128686,-7.365167881312911,152,3,0.4211308549492973,0,0,94,44,14,0,0,0
55,-50.71368504146391,-0.2310584897541079,1,1,0.0,1,0,0,0,0,0,0,0
56,-37.68884381904318,-14.24589717685317,166,3,0.27384536808710624,2,34,130,0,0,0,0,0
57,-40.9520046035413,-5.852039513402929,1,1,0.0,0,1,0,0,0,0,0,0
58,-31.62667595402365,-10.750184130795056,142,3,0.48047803182871807,0,0,56,66,20,0,0,0
59,-33.35395997679858,-18.328097332179222,162,2,0.1677527782585486,0,18,144,0,0,0,0,0
60,-47.7740432700669,-15.156252935501835,2,1,0.0,0,2,0,0,0,0,0,0
61,-27.959966837256754,-13.818118000521014,138,4,0.42869059429961875,0,0,14,96,24,4,0,0
