candidate_id,observation_count,num_unique_timestamps,t_min,t_max,duration_s,persistence_score
0,150,150,0.0,119.9,119.9,1.0
1,162,162,0.0,119.9,119.9,1.0
2,176,176,0.0,119.9,119.9,1.0
3,166,166,0.0,119.9,119.9,1.0
4,162,162,0.0,119.9,119.9,1.0
5,162,162,0.0,119.9,119.9,1.0
6,152,152,0.0,119.9,119.9,1.0
7,144,142,0.0,119.9,119.9,1.0
8,138,138,0.1,66.9,66.80000000000001,1.0
9,162,162,0.1,68.1,68.0,1.0
10,1,1,0.4,0.4,0.0,0.0
11,1,1,0.7,0.7,0.0,0.0
12,138,138,1.7,68.5,66.8,1.0
13,1,1,1.9,1.9,0.0,0.0
14,140,140,3.2,70.1,66.89999999999999,1.0
15,133,132,3.3,69.8,66.5,1.0
16,142,142,4.7,71.7,67.0,1.0
17,1,1,5.4,5.4,0.0,0.0
18,116,116,5.8,71.5,65.7,1.0
19,130,130,6.9,73.3,66.39999999999999,1.0
20,108,108,7.9,73.2,65.3,1.0
21,122,122,9.0,75.0,66.0,1.0
22,107,106,9.8,75.0,65.2,1.0
23,1,1,10.1,10.1,0.0,0.0
24,117,116,10.9,76.6,65.69999999999999,1.0
25,1,1,11.0,11.0,0.0,0.0
26,1,1,11.4,11.4,0.0,0.0
27,104,104,11.6,76.7,65.10000000000001,1.0
28,116,116,12.5,78.2,65.7,1.0
29,102,102,13.4,78.4,65.0,1.0
30,1,1,13.6,13.6,0.0,0.0
31,118,118,14.0,79.8,65.8,1.0
32,104,104,15.0,80.1,65.1,1.0
33,120,120,15.5,81.4,65.9,1.0
34,108,108,16.5,81.8,65.3,1.0
35,128,128,16.7,83.0,66.3,1.0
36,1,1,17.8,17.8,0.0,0.0
37,1,1,17.9,17.9,0.0,0.0
38,138,138,17.9,84.7,66.80000000000001,1.0
39,113,112,18.0,83.5,65.5,1.0
40,1,1,18.8,18.8,0.0,0.0
41,152,152,18.9,86.4,67.5,1.0
42,120,120,19.3,85.2,65.9,1.0
43,170,170,19.7,88.1,68.39999999999999,1.0
44,128,128,20.5,86.8,66.3,1.0
45,1,1,21.4,21.4,0.0,0.0
46,138,138,21.6,88.4,66.80000000000001,1.0
47,168,168,21.7,90.0,68.3,1.0
48,150,150,22.6,90.0,67.4,1.0
49,1,1,22.8,22.8,0.0,0.0
50,162,162,23.5,91.5,68.0,1.0
51,1,1,23.8,23.8,0.0,0.0
52,162,162,23.8,91.8,68.0,1.0
53,176,176,24.4,93.1,68.69999999999999,1.0
54,152,152,26.0,93.5,67.5,1.0
55,1,1,26.2,26.2,0.0,0.0
56,166,166,26.5,94.7,68.2,1.0
57,1,1,28.2,28.2,0.0,0.0
58,142,142,28.2,95.2,67.0,1.0
59,162,162,28.4,96.4,68.0,1.0
60,2,2,29.8,89.6,59.8,1.0
61,138,138,30.1,96.9,66.80000000000001,1.0
62,162,162,30.1,98.1,68.0,1.0
63,1,1,31.0,31.0,0.0,0.0
64,138,138,31.7,98.5,66.8,1.0
65,140,140,33.2,100.1,66.89999999999999,1.0
66,132,132,33.3,99.8,66.5,1.0
67,1,1,33.5,33.5,0.0,0.0
68,1,1,33.6,33.6,0.0,0.0
69,1,1,34.7,34.7,0.0,0.0
